Score,Normalized_Score,Age,Gender,Family type,"Literacy in family (here, educated means they have obtained basic education atleast)",Family income,Fathers' occupation,Residential area /place of living,Type of school,Transportation to the school,Are you attending school regularly?,Do you bunk class regularly?,Are you feel fear to go to school?,Do you have good relationship with your parents?,Do you suffer from unhealthy lifestyle?,Do you get distracted by gadgets and mobile phones?,Do you interested to do your educational work at home?,Do you go to tuition class or personal classes?,Do you worried about financial condition of your family?,Do your parents get personal involvement in your development?,Are you satisfied with your residency facility?,Are you satisfied with Parent's contribution in your educational performance,Are you satisfied with Personal transportation to school?,what do you feel by society pressure in educational performance?,What do you feel by family pressure in educational performance?,Are you satisfied with residency in urban area for your educational performance?,Are you satisfied with residency in rural area for your educational performance,Are you satisfied with the atmosphere at home for your educational performance?,which activity of the school you enjoy the most?,Do you have good teacher-students relationship??,Do you feel performance pressure in examination?, Do you feel fear to examination?,Do your teachers get personal involvement in your development?,Are you satisfied with the infrastructure of the school?,Are you satisfied with Teacher's contribution in your educational performance, Are you satisfied with Transportation facility provided by school,Do you satisfied with Teacher-students relationship?,Are you satisfied with School located in Rural area, Are you satisfied with School located in urban area?,Are you satisfied with the environment at school for your educational performance?
62,0.23,17,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
78,0.57,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,No,No,No,Yes,No,No,No,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly Dis-satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
83,0.68,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
71,0.43,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
74,0.49,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
85,0.72,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,sports events,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
89,0.81,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
56,0.11,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,No,No,No,Yes,No,No,No,No,No,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,No,No,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
85,0.72,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,highly Dis-satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
74,0.49,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,No,No,No,Yes,No,No,No,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly Dis-satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
91,0.85,17,Male,Joint family,both the parents are well educated,"40,001 to 60,000",govt job,urban area,grant in aid school,by school bus,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,highly Dis-satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
91,0.85,17,Female,Joint family,both the parents are not well educated,"upto 20,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,highly Dis-satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
81,0.64,17,Male,Joint family,both the parents are not well educated,"20,001 to 40,000",self-employee,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
81,0.64,16,Male,Joint family,both the parents are not well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
81,0.64,17,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
81,0.64,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
81,0.64,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
75,0.51,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
75,0.51,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
75,0.51,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,sports events,No,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
75,0.51,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
75,0.51,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
65,0.3,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
65,0.3,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,highly satisfied,highly satisfied,highly satisfied,highly Dis-satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,Yes,Yes,Yes,Satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
65,0.3,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
62,0.23,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,highly satisfied,highly satisfied,highly satisfied,highly Dis-satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,Yes,Yes,Yes,Satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
62,0.23,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
62,0.23,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,Yes,Yes,Yes,Satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
63,0.26,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,sports events,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
63,0.26,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
63,0.26,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
65,0.3,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
65,0.3,16,Male,Nuclear family,both the parents are not well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
62,0.23,16,Male,Joint family,both the parents are not well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,Yes,Yes,Yes,Satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
64,0.28,17,Male,Joint family,both the parents are not well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
66,0.32,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,highly satisfied,highly satisfied,highly satisfied,highly Dis-satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,No,Yes,Yes,Yes,Satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
56,0.11,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,Rural area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,Neutral,Neutral,Neutral,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
91,0.85,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
91,0.85,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
91,0.85,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
81,0.64,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
81,0.64,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
81,0.64,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
81,0.64,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
81,0.64,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
75,0.51,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
75,0.51,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
75,0.51,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
75,0.51,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
75,0.51,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,Yes,Yes,Yes,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
65,0.3,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,highly satisfied,highly Dis-satisfied,highly satisfied,Annual day,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,highly satisfied,highly Dis-satisfied,highly satisfied,highly Dis-satisfied
65,0.3,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,highly satisfied,highly Dis-satisfied,highly satisfied,Annual day,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,highly satisfied,highly Dis-satisfied,highly satisfied,highly Dis-satisfied
65,0.3,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,highly Dis-satisfied,Neutral,highly satisfied,highly Dis-satisfied,highly satisfied,extra carricular activity,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,highly satisfied,highly Dis-satisfied,highly satisfied,highly Dis-satisfied
90,0.83,17,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
80,0.62,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
80,0.62,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
80,0.62,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,extra carricular activity,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
91,0.85,17,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
90,0.83,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
80,0.62,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly dis - satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
80,0.62,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
80,0.62,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
86,0.74,16,Male,Joint family,both the parents are well educated,"20,001 to 40,000",private job,urban area,private school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
87,0.77,16,Male,Nuclear family,both the parents are well educated,"20,001 to 40,000",private job,urban area,grant in aid school,by peronal vehicle,Yes,No,No,Yes,No,No,No,No,No,Yes,highly satisfied,highly satisfied,highly satisfied,Neutral,highly satisfied,highly satisfied,highly satisfied,highly satisfied,Annual day,Yes,No,No,No,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied,highly satisfied
